id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_15h30m,4.518116,4.0347323,6.8618364,9.675644,12.119606,16.035633,16.734268,14.171643,23.321007
0.csv_Day7_16h00m,2.4775555,2.0518153,2.9510415,4.6065507,6.852042,8.698584,10.488514,8.487677,17.310623
0.csv_Day7_16h30m,1.2003893,1.1588972,1.2786386,2.1379135,3.7797875,4.3084865,5.265364,4.216303,11.291931
0.csv_Day7_17h00m,0.0,0.0,0.0,1.1641707,2.0614834,1.7262976,1.824707,1.5319211,5.9927254
0.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2534022
0.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071479
0.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,1.2309784,0.0,0.0,2.5988379
0.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,2.3171349,1.814874,0.0,6.0562606
0.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,3.7015765,4.1776443,3.6474645,10.161776
0.csv_Day8_7h30m,0.0,1.2238845,1.8864101,1.4831693,0.0,5.4962153,8.023659,8.168398,14.627151
0.csv_Day8_8h00m,0.0,3.1508048,4.5029488,4.2021503,2.6145437,8.334978,13.20377,13.594851,20.922152
0.csv_Day8_8h30m,1.3808932,5.538504,7.9125113,7.694681,6.5329733,12.977647,18.899387,20.328253,28.034197
0.csv_Day8_9h00m,2.5299735,8.1201935,10.910101,11.838577,12.620446,18.97894,25.159912,27.93205,35.259003
0.csv_Day8_9h30m,4.0273685,10.385984,14.25586,15.519206,19.968256,24.763277,31.459312,35.761692,42.27032
0.csv_Day8_10h00m,6.363469,12.744544,18.636377,20.279837,26.997814,31.093851,38.000427,43.215874,50.08604
0.csv_Day8_10h30m,9.079901,15.356087,23.553392,25.075264,32.718502,37.14199,44.038174,48.894333,57.81592
0.csv_Day8_11h00m,11.892239,18.005362,28.182842,29.620806,37.74715,42.523876,47.778873,53.34928,63.26528
0.csv_Day8_11h30m,13.595887,18.8606,30.27402,34.31395,41.01154,46.98467,49.934826,56.23304,66.45168
0.csv_Day8_12h00m,14.715281,19.655941,28.870617,37.47712,41.96847,49.578197,51.131508,57.84142,67.10083
0.csv_Day8_12h30m,13.656389,18.799725,27.436468,37.845364,40.95902,48.951523,50.94378,57.08073,65.14594
0.csv_Day8_13h00m,13.705159,18.722902,25.159609,35.086315,38.916054,46.088978,48.417324,54.326775,61.889603
0.csv_Day8_13h30m,12.490762,16.426193,20.657673,30.10234,37.06159,42.293594,44.41784,48.239357,55.499195
0.csv_Day8_14h00m,10.573416,14.500937,17.448769,25.54317,34.908493,38.23446,38.302425,39.811363,48.433163
0.csv_Day8_14h30m,8.080355,11.163556,14.321597,21.597614,29.746342,33.10462,31.22881,31.403046,39.698658
0.csv_Day8_15h00m,5.7331357,7.7447505,11.555936,15.661617,21.974503,25.727762,24.838144,22.396841,32.136597
0.csv_Day8_15h30m,3.8552492,4.04077,6.478737,8.939245,14.666481,17.45411,18.576468,13.966257,24.104078
0.csv_Day8_16h00m,2.4774115,2.1619387,2.9385679,4.179857,9.283739,9.89342,12.020155,8.52363,17.26063
0.csv_Day8_16h30m,0.0,0.0,1.3289301,1.9990516,4.9008646,5.028568,6.3568864,3.905889,11.241652
0.csv_Day8_17h00m,0.0,0.0,0.0,0.0,2.4117184,2.0505142,2.7802172,1.523669,5.7215815
0.csv_Day8_17h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1490815
0.csv_Day8_18h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_18h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,1.3070902,1.330182,2.2190104,1.3076501
1.csv_Day7_7h30m,0.0,1.4042089,0.0,1.8159211,2.42779,3.9229918,4.429455,5.4973855,2.9667535
1.csv_Day7_8h00m,1.7057229,4.2686434,4.1909404,5.921639,7.656781,9.012506,10.096237,9.216213,8.269435
1.csv_Day7_8h30m,5.2730613,7.717307,10.7834835,11.932203,14.791844,15.822247,16.993092,15.160076,15.3835125
1.csv_Day7_9h00m,9.93254,11.671654,17.467093,18.822357,22.94013,23.342945,24.67301,22.522423,22.945232
1.csv_Day7_9h30m,15.974239,15.877865,22.836136,24.821365,29.779055,30.398014,32.26252,30.058672,30.191229
1.csv_Day7_10h00m,21.383053,19.727724,27.765343,31.264532,35.95864,37.2379,39.31488,36.97064,36.932026
1.csv_Day7_10h30m,25.51031,24.519062,33.042027,36.47702,40.98528,42.61335,44.969913,43.012367,42.348763
1.csv_Day7_11h00m,31.888771,27.953165,37.146263,40.195538,44.8243,47.182133,49.03607,47.522316,45.80197
1.csv_Day7_11h30m,37.0942,27.922876,38.2859,42.748478,46.05933,49.885822,51.335682,49.3316,48.09339
1.csv_Day7_12h00m,36.849434,29.443878,38.210403,44.04326,46.674576,50.484253,51.71409,49.174904,48.86975
1.csv_Day7_12h30m,35.364998,28.524538,37.545803,43.796276,45.628506,49.285004,51.110233,49.06501,49.099148
1.csv_Day7_13h00m,32.823864,29.195229,35.654396,40.362434,42.574486,46.354847,48.592422,46.90485,47.267597
1.csv_Day7_13h30m,28.134024,29.191822,31.207626,35.707874,40.43492,43.287643,44.980854,43.42004,44.255173
1.csv_Day7_14h00m,23.455637,26.274866,26.830889,30.839964,35.5518,39.483418,40.204243,38.54297,39.30546
1.csv_Day7_14h30m,17.459211,21.401646,21.580399,26.234121,29.347841,33.503906,33.819187,32.135338,33.924057
1.csv_Day7_15h00m,14.437771,15.982786,16.866825,21.15599,22.33818,26.22198,26.531862,25.014929,27.285313
1.csv_Day7_15h30m,10.67261,11.732916,13.409414,14.880722,15.901255,18.935053,17.888344,17.209387,19.595879
1.csv_Day7_16h00m,6.7216,7.970028,9.329978,8.028553,8.722265,11.302294,10.17026,9.774166,12.246171
1.csv_Day7_16h30m,3.2422554,4.1267257,2.7569983,1.256184,2.5517344,5.143253,4.1178765,3.4676528,5.714902
1.csv_Day7_17h00m,1.1742799,0.0,0.0,0.0,0.0,1.3794711,0.0,0.0,1.7503368
1.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,1.338744,0.0,2.3554838,0.0
1.csv_Day8_7h30m,0.0,1.4138502,0.0,1.31709,2.27384,3.851275,3.980218,5.4858375,3.1431892
1.csv_Day8_8h00m,1.7633768,4.164181,3.7523644,5.0855165,7.290785,8.780467,9.293808,9.343769,8.472944
1.csv_Day8_8h30m,4.752483,7.659205,9.978674,10.375795,14.607831,15.663073,16.064072,15.275305,15.610831
1.csv_Day8_9h00m,8.341706,11.59115,16.131317,17.209703,22.769398,23.439257,23.836245,22.710192,23.090317
1.csv_Day8_9h30m,11.364055,14.969281,21.173206,23.357092,29.609467,30.314627,31.495665,30.349058,30.123661
1.csv_Day8_10h00m,15.621536,18.575684,25.930601,29.483755,35.19037,36.679585,38.40294,37.383373,36.888798
1.csv_Day8_10h30m,20.217485,22.861591,29.9384,34.061996,39.521877,42.05309,43.950874,42.957954,42.688206
1.csv_Day8_11h00m,24.953743,27.3656,34.039116,37.85561,43.22095,46.465416,47.45962,47.528793,46.451523
1.csv_Day8_11h30m,26.530771,28.440378,36.101032,40.682243,45.4715,49.007774,49.38155,49.314884,48.594994
1.csv_Day8_12h00m,27.77229,29.80544,36.480682,41.127277,45.563404,49.64013,50.309334,49.67875,49.635406
1.csv_Day8_12h30m,24.98431,27.872625,36.206642,39.61615,44.43468,48.250965,50.055767,48.906506,49.134426
1.csv_Day8_13h00m,25.342037,28.049175,33.498737,36.29903,41.55129,45.66005,47.283363,47.197887,47.878067
1.csv_Day8_13h30m,23.145878,24.466953,29.41976,32.324947,38.283947,42.41866,44.18708,43.347248,44.196194
1.csv_Day8_14h00m,20.101168,21.91098,25.345179,28.381723,34.146976,38.40104,39.903843,38.062782,39.510548
1.csv_Day8_14h30m,16.774574,16.853012,20.071941,24.007492,28.329487,32.789314,33.604164,31.858727,33.573105
1.csv_Day8_15h00m,12.584035,12.695439,15.498759,18.530195,21.242115,25.423616,26.388945,24.59541,27.46686
1.csv_Day8_15h30m,8.950868,7.6610217,12.465328,13.523543,15.12332,17.848473,18.446178,16.789495,20.243505
1.csv_Day8_16h00m,6.368383,4.719903,8.721583,7.388125,9.005312,10.778846,10.591023,9.600855,12.481121
1.csv_Day8_16h30m,2.5633574,1.7995628,2.5256402,0.0,2.472415,4.4211135,4.281054,3.2593565,5.504734
1.csv_Day8_17h00m,0.0,0.0,0.0,0.0,0.0,1.1484699,1.1616858,0.0,1.7523975
1.csv_Day8_17h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_18h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_18h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1377834
2.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,1.6108875,2.5967371,2.499568
2.csv_Day7_7h30m,0.0,1.6033059,1.2227006,1.6545613,1.6451275,2.5772986,4.609666,6.4232454,4.4218855
2.csv_Day7_8h00m,2.2636387,4.5173655,4.6335917,6.2348804,6.9239154,7.1802816,10.11088,10.743532,9.824981
2.csv_Day7_8h30m,6.212944,8.064803,11.132713,12.771976,14.286341,13.955186,16.942953,17.11164,17.095984
2.csv_Day7_9h00m,11.382877,12.285082,17.901697,20.17342,22.612095,21.832146,24.773249,24.70803,24.809614
2.csv_Day7_9h30m,17.472052,16.836706,23.88055,26.629614,29.563877,29.419067,32.51501,32.3288,32.335255
2.csv_Day7_10h00m,22.474989,21.00641,29.548824,33.53452,36.03577,36.60955,39.642693,39.313015,39.578186
2.csv_Day7_10h30m,25.932882,26.121479,35.364452,38.85951,41.45644,42.18871,45.46722,45.334244,45.344654
2.csv_Day7_11h00m,30.154125,29.713053,39.79305,42.653736,45.715633,46.57847,49.770218,49.805202,49.02169
2.csv_Day7_11h30m,33.465115,29.40194,41.355305,45.494946,46.923306,49.388916,52.421803,52.094334,51.489197
2.csv_Day7_12h00m,32.816753,30.31936,41.399082,47.18534,47.332245,50.23011,53.167336,52.555275,52.237057
2.csv_Day7_12h30m,30.619095,28.964945,40.641945,47.12929,46.639404,49.552357,53.010914,52.688416,52.44988
2.csv_Day7_13h00m,27.355345,28.858162,38.7936,43.794308,43.587463,47.143257,51.108982,50.365993,50.596306
2.csv_Day7_13h30m,22.293755,28.267115,34.24405,39.19085,41.298374,44.260082,47.88543,46.365276,47.690914
2.csv_Day7_14h00m,18.488462,24.77029,30.165087,33.956768,36.38876,40.611523,43.47791,41.17692,42.58632
2.csv_Day7_14h30m,13.486947,19.980543,25.247965,28.677845,30.361135,35.005383,37.531143,34.707157,36.7524
2.csv_Day7_15h00m,11.639234,14.857777,20.341574,22.551474,23.614271,28.050705,30.667814,27.828896,29.839867
2.csv_Day7_15h30m,8.915935,10.685707,15.830704,15.137494,17.305908,20.924984,21.963684,20.123549,22.121685
2.csv_Day7_16h00m,6.1874404,7.215481,11.131249,8.348705,10.399344,13.281496,13.54513,12.349307,14.86424
2.csv_Day7_16h30m,3.8422492,3.7975876,5.0030985,2.2423713,4.2603693,6.764647,6.4878974,5.2201095,8.007085
2.csv_Day7_17h00m,1.7681563,0.0,1.2119533,0.0,0.0,2.02202,1.9680995,1.020025,3.1456656
2.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1347579
2.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,1.2071929,2.7678983,2.311101
2.csv_Day8_7h30m,0.0,1.5521879,0.0,1.2807177,1.505714,2.4973016,4.2372913,6.3954525,4.7056885
